x : 7.125660  y : -0.239924  deg : 164.405420
x : 7.999990  y : 0.000000  deg : -1.250002
x : 7.999038  y : 0.005588  deg : 18.516992
x : 7.999043  y : 0.005408  deg : 19.030139
x : 7.999079  y : 0.005343  deg : 18.527332
x : 7.999974  y : 0.001316  deg : 0.653432
x : 7.974097  y : 0.028218  deg : -0.948850
x : 7.973495  y : 0.028373  deg : -0.950027
x : 7.999976  y : 0.001228  deg : 0.371526
x : 7.999978  y : 0.001141  deg : 0.339270
x : 7.999314  y : 0.004433  deg : 16.544833
x : 7.999060  y : 0.005455  deg : 18.522609
x : 7.999316  y : 0.004562  deg : 16.032655
x : 7.974254  y : 0.029285  deg : -0.929763
x : 7.999979  y : 0.000717  deg : 1.934732
x : 7.999410  y : 0.004179  deg : 15.038855
x : 7.999975  y : 0.001252  deg : 0.380421
x : 7.999987  y : 0.000399  deg : 2.341259
x : 7.973993  y : 0.027846  deg : -0.955612
x : 7.972610  y : 0.026895  deg : -0.978101
x : 7.999053  y : 0.005815  deg : 17.744432
x : 7.974106  y : 0.027966  deg : -0.952949
x : 7.973407  y : 0.027981  deg : -0.956904
x : 7.999432  y : 0.004304  deg : 14.018077
x : 7.999970  y : 0.001504  deg : 0.139079
x : 7.999984  y : 0.000481  deg : 2.359398
x : 7.999967  y : 0.001522  deg : 0.474600
x : 7.973401  y : 0.028229  deg : -0.952931
x : 7.999088  y : 0.005764  deg : 16.989728
x : 7.974684  y : 0.029305  deg : -0.926329
x : 7.999985  y : 0.000452  deg : 2.352949
x : 7.999074  y : 0.005376  deg : 18.525953
x : 7.999197  y : 0.004909  deg : 17.534702
x : 7.998955  y : 0.005621  deg : 20.032142
x : 7.975066  y : 0.029119  deg : -0.926753
x : 7.999210  y : 0.005126  deg : 16.512338
x : 7.975775  y : 0.029301  deg : -0.917916
x : 7.999402  y : 0.004381  deg : 14.521443
x : 7.999122  y : 0.005384  deg : 17.513606
x : 7.999260  y : 0.004649  deg : 17.040655
x : 7.999282  y : 0.004794  deg : 16.021459
x : 7.999197  y : 0.005380  deg : 15.993154
x : 7.999026  y : 0.005659  deg : 18.514017
x : 7.999011  y : 0.005449  deg : 19.533785
x : 7.999392  y : 0.004459  deg : 14.767304
x : 7.973657  y : 0.028445  deg : -0.947848
x : 7.999344  y : 0.004367  deg : 16.042063
x : 7.975475  y : 0.028896  deg : -0.927582
x : 7.974434  y : 0.028832  deg : -0.936277
x : 7.998996  y : 0.005840  deg : 18.506356
x : 7.999973  y : 0.001105  deg : 1.131083
x : 7.999972  y : 0.001273  deg : 0.767837
x : 7.999231  y : 0.004570  deg : 18.054916
x : 7.999031  y : 0.005791  deg : 18.002171
x : 7.999049  y : 0.005521  deg : 18.519844
x : 7.999234  y : 0.004817  deg : 17.032997
x : 7.999402  y : 0.004383  deg : 14.521323
x : 7.999997  y : 0.000070  deg : 3.738438
x : 7.999263  y : 0.004634  deg : 17.041327
x : 7.999979  y : 0.000928  deg : 1.077201
x : 7.999048  y : 0.005530  deg : 18.519466
x : 7.999081  y : 0.005480  deg : 18.015611
x : 7.973903  y : 0.027702  deg : -0.958490
x : 7.999316  y : 0.004419  deg : 16.795473
x : 7.998868  y : 0.006102  deg : 20.013305
x : 7.999971  y : 0.001407  deg : 0.435392
x : 7.999992  y : 0.000212  deg : 2.792968
x : 7.973595  y : 0.028025  deg : -0.955084
x : 7.998961  y : 0.005731  deg : 19.522499
x : 7.999492  y : 0.004130  deg : 13.011850
x : 7.974661  y : 0.028828  deg : -0.934778
x : 7.998884  y : 0.005722  deg : 21.038132
x : 7.999988  y : 0.000332  deg : 2.817019
x : 7.973080  y : 0.027838  deg : -0.961036
x : 7.999978  y : 0.000856  deg : 1.504980
x : 7.999356  y : 0.004423  deg : 15.533045
x : 7.999186  y : 0.005286  deg : 16.504858
x : 7.974626  y : 0.027647  deg : -0.954956
x : 7.999971  y : 0.001407  deg : 0.435281
x : 7.998976  y : 0.005801  deg : 19.013998
x : 7.999025  y : 0.005514  deg : 19.025812
x : 7.999972  y : 0.001375  deg : 0.424026
x : 7.999999  y : 0.000000  deg : -1.250000
x : 7.999077  y : 0.005506  deg : 18.014478
x : 7.999375  y : 0.005799  deg : -0.599108
x : 7.999975  y : 0.001177  deg : 0.736236
x : 7.999049  y : 0.005846  deg : 17.743047
x : 7.999465  y : 0.005009  deg : -0.902179
x : 7.972997  y : 0.027923  deg : -0.960155
x : 7.999090  y : 0.005277  deg : 18.530089
x : 7.999376  y : 0.004426  deg : 15.276205
x : 7.999113  y : 0.005286  deg : 18.024017
x : 7.999157  y : 0.005315  deg : 17.010284
x : 7.975266  y : 0.029394  deg : -0.920327
x : 7.999997  y : 0.000075  deg : 3.263572
x : 7.999672  y : 0.004461  deg : -0.789460
x : 7.999015  y : 0.005573  deg : 19.023376
x : 7.999383  y : 0.004372  deg : 15.278988
x : 7.974958  y : 0.027764  deg : -0.700847
x : 7.999378  y : 0.004561  deg : 14.511913
x : 7.999362  y : 0.004528  deg : 15.020959
x : 7.999991  y : 0.000249  deg : 2.800506
x : 7.974343  y : 0.027952  deg : -0.951692
x : 7.998935  y : 0.005881  deg : 19.516462
x : 7.999046  y : 0.005699  deg : 18.006156
x : 7.999246  y : 0.004888  deg : 16.523504
x : 7.974559  y : 0.028201  deg : -0.946133
x : 7.999985  y : 0.000534  deg : 1.889510
x : 7.999218  y : 0.005231  deg : 16.000373
x : 7.998896  y : 0.005945  deg : 20.019461
x : 7.999972  y : 0.001467  deg : -0.152544
x : 7.999189  y : 0.005107  deg : 17.269771
x : 7.974033  y : 0.029028  deg : -0.935691
x : 7.999986  y : 0.000447  deg : 2.351944
x : 7.999037  y : 0.005593  deg : 18.766803
x : 7.974883  y : 0.027847  deg : -0.949961
x : 7.973598  y : 0.027074  deg : -0.970246
x : 7.998992  y : 0.005557  deg : 19.529476
x : 7.998992  y : 0.005560  deg : 19.529331
x : 7.999991  y : 0.000244  deg : 2.799409
x : 7.972533  y : 0.027438  deg : -0.970198
x : 7.998988  y : 0.005729  deg : 19.016962
x : 7.999975  y : 0.001169  deg : 0.733822
x : 7.999984  y : 0.000481  deg : 2.359389
x : 7.999371  y : 0.004463  deg : 15.024311
x : 7.999235  y : 0.004672  deg : 17.545200
x : 7.973694  y : 0.028407  deg : -0.948261
x : 7.999390  y : 0.004320  deg : 15.031652
x : 7.999061  y : 0.005605  deg : 18.260220
x : 7.971886  y : 0.026209  deg : -0.991592
x : 7.999076  y : 0.005360  deg : 18.526619
x : 7.975495  y : 0.028873  deg : -0.927841
x : 7.999451  y : 0.004155  deg : 14.026249
x : 7.999035  y : 0.005605  deg : 18.516287
x : 7.999987  y : 0.000404  deg : 2.342407
x : 7.973144  y : 0.027773  deg : -0.961721
x : 7.999986  y : 0.000424  deg : 2.346824
x : 7.999975  y : 0.001330  deg : 0.324389
x : 7.999061  y : 0.005309  deg : 19.034207
x : 7.999010  y : 0.005756  deg : 18.509905
x : 7.999478  y : 0.005492  deg : -0.817040
x : 7.999995  y : 0.000152  deg : 3.030994
x : 7.999971  y : 0.001290  deg : 0.773218
x : 7.999369  y : 0.004330  deg : 15.537700
x : 7.999976  y : 0.001137  deg : 0.722971
x : 7.999418  y : 0.004116  deg : 15.042067
x : 7.973214  y : 0.027702  deg : -0.962460
x : 7.998950  y : 0.005796  deg : 19.519889
x : 7.999973  y : 0.001223  deg : 0.751675
x : 7.974736  y : 0.028250  deg : -0.944121
x : 7.999344  y : 0.004659  deg : 15.014240
x : 7.974207  y : 0.027620  deg : -0.958009
x : 7.974171  y : 0.027896  deg : -0.953691
x : 7.999972  y : 0.001459  deg : -0.155513
x : 7.998981  y : 0.005771  deg : 19.015234
x : 7.999189  y : 0.004824  deg : 18.043976
x : 7.999987  y : 0.000390  deg : 2.339300
x : 7.999134  y : 0.005306  deg : 17.767078
x : 7.974869  y : 0.028103  deg : -0.945723
x : 7.998998  y : 0.005671  deg : 19.019345
x : 7.998915  y : 0.005993  deg : 19.511997
x : 7.999231  y : 0.004986  deg : 16.518935
x : 7.999972  y : 0.001383  deg : 0.426885
x : 7.999345  y : 0.004652  deg : 15.014608
x : 7.999982  y : 0.000000  deg : -1.249997
x : 7.999972  y : 0.001385  deg : 0.427818
x : 7.974129  y : 0.027702  deg : -0.957134
x : 7.999053  y : 0.005497  deg : 18.520841
x : 7.999305  y : 0.004496  deg : 16.541910
x : 7.999988  y : 0.000372  deg : 2.335087
x : 7.999007  y : 0.005335  deg : 20.043341
x : 7.975697  y : 0.028390  deg : -0.934858
x : 7.974155  y : 0.026509  deg : -0.976098
x : 7.999992  y : 0.000235  deg : 2.797647
x : 7.999040  y : 0.005736  deg : 18.004543
x : 7.999450  y : 0.004165  deg : 14.025678
x : 7.974746  y : 0.028731  deg : -0.935834
x : 7.999318  y : 0.004543  deg : 16.033594
x : 7.999296  y : 0.004551  deg : 16.539314
x : 7.973277  y : 0.027400  deg : -0.966870
x : 7.999270  y : 0.004586  deg : 17.043511
x : 7.999973  y : 0.001342  deg : 0.412708
x : 7.999288  y : 0.004605  deg : 16.536803
x : 7.999398  y : 0.004266  deg : 15.284407
x : 7.999476  y : 0.004107  deg : 13.521315
x : 7.974953  y : 0.029249  deg : -0.925300
x : 7.973442  y : 0.028186  deg : -0.703391
x : 7.999005  y : 0.005487  deg : 19.532270
x : 7.999985  y : 0.000468  deg : 2.356466
x : 7.999982  y : 0.000632  deg : 1.913928
x : 7.999977  y : 0.001108  deg : 0.713101
x : 7.974295  y : 0.028247  deg : -0.947104
x : 7.999061  y : 0.005451  deg : 18.522764
x : 7.999422  y : 0.004230  deg : 14.529436
x : 7.974675  y : 0.028563  deg : -0.939213
x : 7.974173  y : 0.027418  deg : -0.961485
x : 7.999366  y : 0.004497  deg : 15.022571
x : 7.999240  y : 0.005250  deg : 15.741882
x : 7.999157  y : 0.005316  deg : 17.010227
x : 7.999410  y : 0.004046  deg : 15.551758
x : 7.975126  y : 0.028060  deg : -0.694695
x : 7.999276  y : 0.004687  deg : 16.532943
x : 7.973432  y : 0.027478  deg : -0.964784
x : 7.999188  y : 0.004701  deg : 18.554350
x : 7.999990  y : 0.000274  deg : 2.805428
x : 7.999997  y : 0.000066  deg : 3.261956
x : 7.999102  y : 0.005068  deg : 19.044101
x : 7.999062  y : 0.005444  deg : 18.523081
x : 7.974470  y : 0.027106  deg : -0.964781
x : 7.975209  y : 0.027967  deg : -0.945708
x : 7.999974  y : 0.001302  deg : 0.398372
x : 7.975178  y : 0.027761  deg : -0.949431
x : 7.999030  y : 0.005486  deg : 19.026965
x : 7.999975  y : 0.000932  deg : 1.525574
x : 7.974545  y : 0.027496  deg : -0.957947
x : 7.999973  y : 0.001331  deg : 0.408827
x : 7.974519  y : 0.028490  deg : -0.941521
x : 7.975868  y : 0.028937  deg : -0.673767
x : 7.999303  y : 0.004507  deg : 16.541362
x : 7.999470  y : 0.004159  deg : 13.518348
x : 7.975352  y : 0.027808  deg : -0.947438
x : 7.999423  y : 0.004226  deg : 14.529649
x : 7.999974  y : 0.001361  deg : 0.086266
x : 7.999972  y : 0.001450  deg : 0.119426
x : 7.999114  y : 0.005433  deg : 17.511437
x : 7.999983  y : 0.000598  deg : 1.905612
x : 7.973708  y : 0.028148  deg : -0.952412
x : 7.999408  y : 0.004334  deg : 14.523935
x : 7.999974  y : 0.001311  deg : 0.651764
x : 7.974305  y : 0.027516  deg : -0.959110
x : 7.999988  y : 0.000436  deg : 2.114832
x : 7.999986  y : 0.000429  deg : 2.347898
x : 7.999277  y : 0.004824  deg : 16.020012
x : 7.999342  y : 0.004522  deg : 15.528144
x : 7.973879  y : 0.027966  deg : -0.954334
x : 7.974267  y : 0.027556  deg : -0.708685
x : 7.999387  y : 0.004347  deg : 15.030268
x : 7.975649  y : 0.028445  deg : -0.934247
x : 7.999422  y : 0.004087  deg : 15.043567
x : 7.999982  y : 0.000540  deg : 2.372368
x : 7.999278  y : 0.004533  deg : 17.045924
x : 7.999005  y : 0.005631  deg : 19.020984
x : 7.999291  y : 0.004733  deg : 16.024403
x : 7.974957  y : 0.028494  deg : -0.938426
x : 7.999365  y : 0.004363  deg : 15.536025
x : 7.999988  y : 0.000326  deg : 2.815877
x : 7.999984  y : 0.000637  deg : 1.444081
x : 7.999968  y : 0.001588  deg : 0.168834
x : 7.999158  y : 0.005471  deg : 16.496164
x : 7.999969  y : 0.001474  deg : 0.458448
x : 7.976853  y : 0.029266  deg : -0.909250
x : 7.999398  y : 0.004415  deg : 14.519637
x : 7.999982  y : 0.000624  deg : 1.911962
x : 7.976095  y : 0.029173  deg : -0.917616
x : 7.999981  y : 0.000000  deg : -1.250003
x : 7.999985  y : 0.000529  deg : 1.888414
x : 7.999068  y : 0.005131  deg : 19.546519
x : 7.998993  y : 0.005410  deg : 20.040385
x : 7.975484  y : 0.029649  deg : -0.913964
x : 7.999974  y : 0.001381  deg : 0.343730
x : 7.999987  y : 0.000367  deg : 2.823879
x : 7.999968  y : 0.001565  deg : -0.089275
x : 7.999983  y : 0.000599  deg : 1.905710
x : 7.999110  y : 0.005302  deg : 18.023293
x : 7.999968  y : 0.001582  deg : 0.166511
x : 7.974776  y : 0.028206  deg : -0.944598
x : 7.999210  y : 0.005123  deg : 16.512508
x : 7.999426  y : 0.004059  deg : 15.045005
x : 7.999982  y : 0.000558  deg : 2.376315
x : 7.999063  y : 0.005294  deg : 19.034826
x : 7.999963  y : 0.001743  deg : 0.222120
x : 7.999171  y : 0.005227  deg : 17.014263
x : 7.999981  y : 0.000646  deg : 1.917319
x : 7.999299  y : 0.004678  deg : 16.027095
x : 7.975032  y : 0.028657  deg : -0.935083
x : 7.999334  y : 0.004579  deg : 15.525331
x : 7.973791  y : 0.028547  deg : -0.945326
x : 7.973546  y : 0.028319  deg : -0.950595
x : 7.975025  y : 0.028418  deg : -0.939269
x : 7.974832  y : 0.028884  deg : -0.932584
x : 7.999980  y : 0.000681  deg : 1.925999
x : 7.973832  y : 0.028259  deg : -0.949836
x : 7.999079  y : 0.005497  deg : 18.014883
x : 7.999973  y : 0.001326  deg : 0.406938
x : 7.999056  y : 0.005798  deg : 17.495217
x : 7.999377  y : 0.004275  deg : 15.540381
x : 7.999127  y : 0.005514  deg : 17.001167
x : 7.999991  y : 0.000296  deg : 2.568170
x : 7.972940  y : 0.027981  deg : -0.959549
x : 7.999203  y : 0.004875  deg : 17.536187
x : 7.974809  y : 0.028661  deg : -0.936599
x : 7.999405  y : 0.005745  deg : -0.835966
x : 7.999979  y : 0.000416  deg : 4.692561
x : 7.974316  y : 0.028963  deg : -0.934849
x : 7.999974  y : 0.001189  deg : 0.740260
x : 7.999986  y : 0.000420  deg : 2.345852
x : 7.973933  y : 0.027198  deg : -0.966423
x : 7.998762  y : 0.006361  deg : 21.264235
x : 7.999992  y : 0.000237  deg : 2.798038
x : 7.999436  y : 0.004269  deg : 14.270004
x : 7.999994  y : 0.000171  deg : 3.034813
x : 7.999975  y : 0.001263  deg : 0.384233
x : 7.999312  y : 0.004449  deg : 16.544081
x : 7.975328  y : 0.029067  deg : -0.925672
x : 7.999321  y : 0.004527  deg : 16.034354
x : 7.999171  y : 0.005224  deg : 17.014422
x : 7.999341  y : 0.004527  deg : 15.527901
x : 7.974881  y : 0.028828  deg : -0.933195
x : 7.975548  y : 0.029062  deg : -0.924051
x : 7.975052  y : 0.028884  deg : -0.930989
x : 7.999978  y : 0.001065  deg : 0.698675
x : 7.999996  y : 0.000095  deg : 3.734428
x : 7.999005  y : 0.005948  deg : 17.995368
x : 7.999318  y : 0.004692  deg : 15.519700
x : 7.999022  y : 0.005844  deg : 17.999863
x : 7.999276  y : 0.004686  deg : 16.533013
x : 7.999974  y : 0.001292  deg : 0.394864
x : 7.999590  y : 0.004571  deg : -0.869649
x : 7.998965  y : 0.005708  deg : 19.523414
x : 7.973388  y : 0.028242  deg : -0.952795
x : 7.974486  y : 0.027798  deg : -0.953342
x : 7.973268  y : 0.027884  deg : -0.959246
x : 7.999281  y : 0.004800  deg : 16.021198
x : 7.999327  y : 0.004630  deg : 15.522772
x : 7.974115  y : 0.029188  deg : -0.932398
x : 7.999253  y : 0.004839  deg : 16.525805
x : 7.999977  y : 0.001187  deg : 0.356463
x : 7.999139  y : 0.005434  deg : 17.254808
x : 7.998819  y : 0.006061  deg : 21.025461
x : 7.999118  y : 0.005407  deg : 17.512577
x : 7.999976  y : 0.000917  deg : 1.521652
x : 7.999107  y : 0.005475  deg : 17.509592
x : 7.999364  y : 0.004672  deg : 14.506013
x : 7.999311  y : 0.004457  deg : 16.543717
x : 7.999973  y : 0.001415  deg : -0.172079
x : 7.974129  y : 0.028427  deg : -0.945166
x : 7.999979  y : 0.000813  deg : 1.493301
x : 7.999124  y : 0.005371  deg : 17.514196
x : 7.999234  y : 0.004966  deg : 16.519886
x : 7.999992  y : 0.000218  deg : 2.794306
x : 7.975580  y : 0.029794  deg : -0.910534
x : 7.999977  y : 0.001081  deg : 0.704168
x : 7.999254  y : 0.004688  deg : 17.038870
x : 7.999299  y : 0.004673  deg : 16.027317
x : 7.974816  y : 0.028653  deg : -0.936690
x : 7.974631  y : 0.027881  deg : -0.951034
x : 7.973868  y : 0.027265  deg : -0.965717
x : 7.973965  y : 0.028117  deg : -0.951344
x : 7.999981  y : 0.000661  deg : 1.921095
x : 7.999452  y : 0.004149  deg : 14.026574
x : 7.999985  y : 0.000452  deg : 2.353052
x : 7.999972  y : 0.001423  deg : 0.109175
x : 7.998975  y : 0.005656  deg : 19.525520
x : 7.999005  y : 0.005632  deg : 19.020939
x : 7.972951  y : 0.027025  deg : -0.974418
x : 7.999979  y : 0.001004  deg : 0.677584
x : 7.999205  y : 0.005006  deg : 17.024349
x : 7.974132  y : 0.028670  deg : -0.941073
x : 7.999110  y : 0.005625  deg : 16.996119
x : 7.973998  y : 0.027366  deg : -0.963362
x : 7.999988  y : 0.000368  deg : 2.334346
x : 7.975150  y : 0.028522  deg : -0.936563
x : 7.975076  y : 0.028856  deg : -0.931295
x : 7.999967  y : 0.001631  deg : -0.092946
x : 7.999972  y : 0.001384  deg : 0.427348
x : 7.999354  y : 0.004435  deg : 15.532463
x : 7.999991  y : 0.000261  deg : 2.802859
x : 7.974877  y : 0.028339  deg : -0.941660
x : 7.999025  y : 0.005513  deg : 19.025855
x : 7.999045  y : 0.005262  deg : 19.541288
x : 7.999313  y : 0.004439  deg : 16.544556
x : 7.975451  y : 0.028181  deg : -0.940319
x : 7.973793  y : 0.027579  deg : -0.961121
x : 7.998941  y : 0.005697  deg : 20.029150
x : 7.972866  y : 0.027817  deg : -0.962551
x : 7.999968  y : 0.000001  deg : -1.249995
x : 7.973403  y : 0.027986  deg : -0.956854
x : 7.999496  y : 0.003947  deg : 13.530321
x : 7.999974  y : 0.001289  deg : 0.393718
x : 7.999973  y : 0.001224  deg : 0.751785
x : 7.973851  y : 0.028483  deg : -0.946015
x : 7.999976  y : 0.001139  deg : 0.723658
x : 7.999280  y : 0.004661  deg : 16.534168
x : 7.999974  y : 0.001215  deg : 0.748990
x : 7.999078  y : 0.005504  deg : 18.014596
x : 7.974958  y : 0.028248  deg : -0.942652
x : 7.974820  y : 0.027675  deg : -0.953243
x : 7.973231  y : 0.026748  deg : -0.977254
x : 7.999379  y : 0.004403  deg : 15.027401
x : 7.999988  y : 0.000320  deg : 2.814534
x : 7.974099  y : 0.027261  deg : -0.964465
x : 7.973765  y : 0.028330  deg : -0.949079
x : 7.999971  y : 0.001292  deg : 0.773851
x : 7.999988  y : 0.000415  deg : 2.109670
x : 7.973496  y : 0.028618  deg : -0.946010
x : 7.972943  y : 0.027033  deg : -0.974343
x : 7.975307  y : 0.028344  deg : -0.938525
x : 7.974371  y : 0.027445  deg : -0.959857
x : 7.974238  y : 0.026883  deg : -0.969710
x : 7.999364  y : 0.004510  deg : 15.021916
x : 7.973561  y : 0.027112  deg : -0.969854
x : 7.999973  y : 0.001248  deg : 0.759615
x : 7.999193  y : 0.004936  deg : 17.533484
x : 7.998878  y : 0.005895  deg : 20.526654
x : 7.975533  y : 0.028579  deg : -0.932751
x : 7.999981  y : 0.000722  deg : 1.468127
x : 7.999978  y : 0.000839  deg : 1.500447
x : 7.972905  y : 0.026838  deg : -0.977514
x : 7.999268  y : 0.005045  deg : 15.502134
x : 7.999344  y : 0.004371  deg : 16.041877
x : 7.999975  y : 0.001151  deg : 0.727833
x : 7.999996  y : 0.000100  deg : 3.733552
x : 7.999972  y : 0.001441  deg : 0.115948
x : 7.999370  y : 0.004324  deg : 15.537982
x : 7.973145  y : 0.027772  deg : -0.961725
x : 7.973645  y : 0.027973  deg : -0.955633
x : 7.999168  y : 0.005404  deg : 16.499278
x : 7.999022  y : 0.005684  deg : 18.512936
x : 7.998775  y : 0.006450  deg : 20.505430
x : 7.973754  y : 0.027383  deg : -0.964485
x : 7.973681  y : 0.027223  deg : -0.967440
x : 7.999021  y : 0.005541  deg : 19.024703
x : 7.999673  y : 0.004233  deg : -0.836472
x : 7.999248  y : 0.005026  deg : 16.010252
x : 7.999220  y : 0.004767  deg : 17.540990
x : 7.999973  y : 0.001345  deg : 0.413761
x : 7.998864  y : 0.006279  deg : 19.500485
x : 7.998914  y : 0.005700  deg : 20.534118
x : 7.999975  y : 0.001179  deg : 0.736937
x : 7.973937  y : 0.028390  deg : -0.947013
x : 7.999274  y : 0.004561  deg : 17.044647
x : 7.999175  y : 0.004908  deg : 18.040316
x : 7.998892  y : 0.005968  deg : 20.018540
x : 7.998913  y : 0.006005  deg : 19.511517
x : 7.974262  y : 0.029024  deg : -0.934188
x : 7.998996  y : 0.005838  deg : 18.506453
x : 7.999111  y : 0.005156  deg : 18.535185
x : 7.999981  y : 0.000649  deg : 1.918074
x : 7.999228  y : 0.004856  deg : 17.031213
x : 7.999094  y : 0.005405  deg : 18.018859
x : 7.999992  y : 0.000204  deg : 3.286826
x : 7.974808  y : 0.027689  deg : -0.953093
x : 7.999983  y : 0.000603  deg : 1.906847
x : 7.999321  y : 0.004386  deg : 16.547049
x : 7.999000  y : 0.005660  deg : 19.019798
x : 7.999992  y : 0.000215  deg : 2.793588
x : 7.975467  y : 0.029158  deg : -0.922981
x : 7.998964  y : 0.005867  deg : 19.011284
x : 7.999981  y : 0.000641  deg : 1.916149
x : 7.999974  y : 0.001073  deg : 1.121382
x : 7.999253  y : 0.004697  deg : 17.038468
x : 7.974952  y : 0.027770  deg : -0.950783
x : 7.999981  y : 0.000652  deg : 1.918996
x : 7.974725  y : 0.028262  deg : -0.943992
x : 7.999977  y : 0.001174  deg : 0.351548
x : 7.999973  y : 0.000001  deg : -1.249996
x : 7.974080  y : 0.027754  deg : -0.956588
x : 7.999087  y : 0.005300  deg : 18.529136
x : 7.999288  y : 0.004606  deg : 16.536764
x : 7.975274  y : 0.028137  deg : -0.942337
x : 7.999972  y : 0.001148  deg : 1.143605
x : 7.999028  y : 0.005647  deg : 18.514518
x : 7.999597  y : 0.004687  deg : -0.840477
x : 7.999979  y : 0.000000  deg : -1.249997
x : 7.999331  y : 0.004458  deg : 16.037664
x : 7.999984  y : 0.000565  deg : 1.897412
x : 7.998839  y : 0.005957  deg : 21.029350
x : 7.974903  y : 0.028065  deg : -0.946128
x : 7.999286  y : 0.004767  deg : 16.022800
x : 7.974955  y : 0.028008  deg : -0.946753
x : 7.999681  y : 0.004564  deg : -0.749956
x : 7.999970  y : 0.001443  deg : 0.447889
x : 7.974303  y : 0.027755  deg : -0.955196
x : 7.999987  y : 0.000353  deg : 2.821094
x : 7.973703  y : 0.028153  deg : -0.702356
x : 7.999994  y : 0.000161  deg : 3.279153
x : 7.999995  y : 0.000113  deg : 3.731332
x : 7.998976  y : 0.005649  deg : 19.525787
x : 7.999998  y : 0.000059  deg : 3.260752
x : 7.999975  y : 0.001166  deg : 0.732800
x : 7.999316  y : 0.004558  deg : 16.032862
x : 7.974130  y : 0.027463  deg : -0.961009
x : 7.974921  y : 0.028046  deg : -0.696343
x : 7.999977  y : 0.000000  deg : -1.250004
x : 7.999981  y : 0.000744  deg : 1.474255
x : 7.999057  y : 0.005631  deg : 18.009075
x : 7.998942  y : 0.005998  deg : 19.005910
x : 7.999100  y : 0.005221  deg : 18.532482
x : 7.999042  y : 0.005563  deg : 18.518054
x : 7.972090  y : 0.026703  deg : -0.983448
x : 7.999309  y : 0.004756  deg : 15.516515
x : 7.999038  y : 0.005588  deg : 18.517006
x : 7.974307  y : 0.027277  deg : -0.962973
x : 7.999008  y : 0.005770  deg : 18.509323
x : 7.999383  y : 0.004525  deg : 14.513809
x : 7.999022  y : 0.005530  deg : 19.025153
x : 7.998920  y : 0.005815  deg : 20.024543
x : 7.999986  y : 0.000499  deg : 2.130736
x : 7.999057  y : 0.005631  deg : 18.259084
x : 7.999984  y : 0.000481  deg : 2.359333
x : 7.999987  y : 0.000405  deg : 2.342494
x : 7.973845  y : 0.027525  deg : -0.961692
x : 7.974543  y : 0.028219  deg : -0.945939
x : 7.999302  y : 0.004809  deg : 15.513862
x : 7.974404  y : 0.028372  deg : -0.944291
x : 7.973992  y : 0.027608  deg : -0.959480
x : 7.998915  y : 0.005838  deg : 20.023638
x : 7.999990  y : 0.000291  deg : 2.808865
x : 7.973747  y : 0.028595  deg : -0.944821
x : 7.999339  y : 0.004399  deg : 16.040544
x : 7.999073  y : 0.005689  deg : 17.500047
x : 7.973721  y : 0.027417  deg : -0.964131
x : 7.998885  y : 0.005856  deg : 20.528155
x : 7.999971  y : 0.001301  deg : 0.776737
x : 7.975029  y : 0.027686  deg : -0.701691
x : 7.998920  y : 0.005533  deg : 21.045167
x : 7.998951  y : 0.005944  deg : 19.008107
x : 7.999250  y : 0.004581  deg : 17.549215
x : 7.999975  y : 0.001250  deg : 0.379620
x : 7.973521  y : 0.028346  deg : -0.950311
x : 7.974589  y : 0.028660  deg : -0.938156
x : 7.999372  y : 0.004309  deg : 15.538716
x : 7.999314  y : 0.004574  deg : 16.032092
x : 7.999295  y : 0.004559  deg : 16.538938
x : 7.999056  y : 0.005636  deg : 18.008869
x : 7.999973  y : 0.001242  deg : 0.757726
x : 7.974339  y : 0.027717  deg : -0.955605
x : 7.999416  y : 0.004275  deg : 14.527039
x : 7.999369  y : 0.004477  deg : 15.023591
x : 7.999285  y : 0.004623  deg : 16.535937
x : 7.999998  y : 0.000044  deg : 3.257959
x : 7.999975  y : 0.001249  deg : 0.379145
x : 7.999984  y : 0.000503  deg : 2.364353
x : 7.999145  y : 0.005237  deg : 17.520149
x : 7.999156  y : 0.005023  deg : 18.035355
x : 7.999987  y : 0.000393  deg : 2.339869
x : 7.999976  y : 0.001290  deg : 0.059147
x : 7.974529  y : 0.027752  deg : -0.953829
x : 7.999334  y : 0.004175  deg : 17.062182
x : 7.999976  y : 0.001144  deg : 0.725224
x : 7.973252  y : 0.027662  deg : -0.962868
x : 7.973940  y : 0.027902  deg : -0.955020
x : 7.998986  y : 0.005448  deg : 20.038890
x : 7.999969  y : 0.001566  deg : 0.133771
x : 7.999969  y : 0.001532  deg : -0.100986
x : 7.999981  y : 0.000667  deg : 1.922671
x : 7.999191  y : 0.005418  deg : 15.991288
x : 7.975627  y : 0.028470  deg : -0.933966
x : 7.974775  y : 0.028208  deg : -0.944585
x : 7.999991  y : 0.000187  deg : 4.221922
x : 7.999374  y : 0.004298  deg : 15.539268
x : 7.974466  y : 0.028797  deg : -0.936660
x : 7.999974  y : 0.001194  deg : 0.742003
x : 7.999072  y : 0.005540  deg : 18.013038
x : 7.999998  y : 0.000055  deg : 3.259974
x : 7.999980  y : 0.000774  deg : 1.482527
x : 7.999273  y : 0.004855  deg : 16.018529
x : 7.999281  y : 0.004796  deg : 16.021374
x : 7.999288  y : 0.004752  deg : 16.023493
x : 7.999985  y : 0.000687  deg : 1.250708
